agency_primary,affil_id,affiliation
department of agriculture,131983989,us forest service retired
department of agriculture,132224464,us forest service rmrs fire sciences laboratory
department of agriculture,60003956,us forest service rmrs shrub sciences laboratory
department of agriculture,123300753,us forest service rocky mountain region in lakewood
department of agriculture,112179469,us forest service rocky mountain research station
department of agriculture,128595010,us forest service rocky mountain research station
department of agriculture,60002722,us forest service rocky mountain research station
department of agriculture,126999384,us forest service savannah river
department of agriculture,108275980,us forest service southern research station
department of agriculture,112709375,us forest service southern research station
department of agriculture,116396019,us forest service southern research station
department of agriculture,118788132,us forest service southern research station
department of agriculture,131507085,us forest service southern research station
department of agriculture,101963398,us forest service wallowa whitman national forest
department of agriculture,125618199,us forest service wallowa whitman national forest
department of agriculture,130055303,us forest service western wildlands environmental threat assessment center
department of agriculture,129684537,us forest servicecaribou targee national forest
department of agriculture,125242462,us forest serviceforest health protection
department of agriculture,125950814,us forest servicepacific southwest research station
department of agriculture,128664028,us forest services northern research station
department of agriculture,125758308,us forest servicesilvacarbon
department of agriculture,119345258,us forest servicewayne national forest
department of agriculture,100361655,us national arboretum
department of agriculture,106456777,us national arboretum
department of agriculture,122932809,us national arboretum
department of agriculture,102011134,us national poultry research center
department of agriculture,106453251,us pacific basin agricultural research center
department of agriculture,106267356,us vegetable breeding laboratory
department of agriculture,130396158,us vegetable lab
department of agriculture,105284749,usda
department of agriculture,109556110,usda
department of agriculture,114311346,usda
department of agriculture,60032280,usda
department of agriculture,60204063,usda agricultural marketing service
department of agriculture,132218412,usda agriculture marketing service dairy program
department of agriculture,131401100,usda animal genomics and improvement laboratory
department of agriculture,126555289,usda aphis
department of agriculture,128316753,usda aphis
department of agriculture,130382947,usda aphis
department of agriculture,132929378,usda aphis
department of agriculture,60091302,usda aphis
department of agriculture,128306628,usda aphis animal care
department of agriculture,125993768,usda aphis national veterinary services laboratories
department of agriculture,60011808,usda aphis national veterinary services laboratories
department of agriculture,60032434,usda aphis national wildlife research center
department of agriculture,129840237,usda aphis plant protection and quarantine
department of agriculture,122160675,usda aphis ppq cphst otis lab
department of agriculture,128153496,usda aphis ppq national identification services
department of agriculture,129825755,usda aphis ppq sandt bethel field station
department of agriculture,126444008,usda aphis ppq sandt forest pest methods laboratory
department of agriculture,130494201,usda aphis ppq sandt identification technology program
department of agriculture,130494622,usda aphis ppq sandt plant pathogen confirmatory diagnostics laboratory
department of agriculture,132459008,usda aphis ppq science and technology
department of agriculture,125897344,usda aphis ppq science and technology otis laboratory
department of agriculture,113306704,usda aphis veterinary services
department of agriculture,114262117,usda aphis veterinary services
department of agriculture,130159664,usda aphis wildlife services
department of agriculture,131119729,usda aphis wildlife services
department of agriculture,126198150,usda aphis wildlife services national wildlife research center
department of agriculture,123994424,usda aphis ws national wildlife research center
department of agriculture,131993922,usda aphis ws national wildlife research center
department of agriculture,125423471,usda aphis ws national wildlife research center predator research facility
department of agriculture,100516233,usda ars
department of agriculture,100542221,usda ars
department of agriculture,100651701,usda ars
department of agriculture,100783704,usda ars
department of agriculture,100834039,usda ars
department of agriculture,101464524,usda ars
department of agriculture,101772751,usda ars
department of agriculture,105476615,usda ars
department of agriculture,105796609,usda ars
department of agriculture,107995871,usda ars
department of agriculture,109191135,usda ars
department of agriculture,111895434,usda ars
department of agriculture,112233601,usda ars
department of agriculture,112843438,usda ars
department of agriculture,114464972,usda ars
department of agriculture,119345476,usda ars
department of agriculture,119992732,usda ars
department of agriculture,120125096,usda ars
department of agriculture,121955044,usda ars
department of agriculture,122461253,usda ars
department of agriculture,122937323,usda ars
department of agriculture,123456431,usda ars
department of agriculture,123752176,usda ars
department of agriculture,124749487,usda ars
department of agriculture,127222766,usda ars
department of agriculture,129403148,usda ars
department of agriculture,60001989,usda ars
department of agriculture,131400979,usda ars adaptive cropping systems laboratory
department of agriculture,131401121,usda ars adaptive cropping systems laboratory
department of agriculture,60030463,usda ars appalachian fruit research station
department of agriculture,125555251,usda ars application technology research unit (atru
department of agriculture,105896823,usda ars aquatic animal health research center
department of agriculture,60103650,usda ars aquatic animal health research center
department of agriculture,60010048,usda ars arthropod borne animal diseases research laboratory
department of agriculture,125555268,usda ars atru
department of agriculture,112080304,usda ars australian biocontrol laboratory
department of agriculture,112893394,usda ars australian biocontrol laboratory
department of agriculture,60025549,usda ars avian disease and oncology laboratory
department of agriculture,106455876,usda ars bee research laboratory
department of agriculture,60000635,usda ars beltsville agricultural research center
department of agriculture,60020010,usda ars beltsville human nutrition research center
department of agriculture,60014987,usda ars beneficial insects introduction research unit
department of agriculture,60010621,usda ars carl hayden bee research center
department of agriculture,101560566,usda ars cattle fever tick research laboratory
department of agriculture,120609880,usda ars cattle fever tick research laboratory
department of agriculture,60090934,usda ars center for grain and animal health research
department of agriculture,112879185,usda ars center for medical
department of agriculture,110255737,usda ars center for medical agricultural and veterinary entomology
department of agriculture,60092179,usda ars cereal disease laboratory
department of agriculture,132074003,usda ars champaign
department of agriculture,125612374,usda ars childrens nutrition research center
department of agriculture,60008135,usda ars childrens nutrition research center
department of agriculture,113214109,usda ars coastal plains soil water and plant research center
department of agriculture,60003922,usda ars coastal plains soil water and plant research center
department of agriculture,60103651,usda ars conservation and production research laboratory
department of agriculture,122928775,usda ars corn host plant resistance research unit
department of agriculture,60003888,usda ars corn host plant resistance research unit
department of agriculture,60007901,usda ars corvallis forestry sciences laboratory
department of agriculture,115125198,usda ars cotton production and processing research unit
department of agriculture,122504805,usda ars cotton structure and quality research unit
department of agriculture,113071907,usda ars crop genetics research unit
department of agriculture,131958399,usda ars crop production and protection
department of agriculture,60005864,usda ars crop science research laboratory
department of agriculture,60001518,usda ars dale bumpers national rice research center
department of agriculture,60013741,usda ars dale bumpers small farms research center
department of agriculture,116154800,usda ars delta water management research unit
department of agriculture,60008528,usda ars eastern regional research center
department of agriculture,107106497,usda ars environmental microbial and food safety laboratory
department of agriculture,114880782,usda ars environmental microbial and food safety laboratory
department of agriculture,106268384,usda ars environmental quality laboratory
department of agriculture,128861685,usda ars errc residue chemistry and predictive microbiology research unit
department of agriculture,100489837,usda ars european biological control laboratory
department of agriculture,110075015,usda ars european biological control laboratory
department of agriculture,113807453,usda ars european biological control laboratory
department of agriculture,113939401,usda ars european biological control laboratory
department of agriculture,121984638,usda ars fapru
department of agriculture,101455465,usda ars floral and nursery plants research unit
department of agriculture,60103648,usda ars forage and range research laboratory
department of agriculture,60010741,usda ars forage seed and cereal research unit
department of agriculture,60103775,usda ars foreign disease weed science research unit
department of agriculture,60016024,usda ars fort keogh livestock and range research laboratory
department of agriculture,122518639,usda ars fscru
department of agriculture,60103678,usda ars gainesville
department of agriculture,106455914,usda ars genetics and precision agriculture research unit
department of agriculture,123923511,usda ars genetics and precision agriculture research unit
department of agriculture,112571022,usda ars global change and photosynthesis research unit
department of agriculture,125763856,usda ars global change and photosynthesis research unit
department of agriculture,128435663,usda ars global change and photosynthesis research unit
department of agriculture,60006180,usda ars grand forks human nutrition research center
department of agriculture,109717158,usda ars grape genetics research unit
department of agriculture,132989957,usda ars grassland soil and water research laboratory
department of agriculture,60022218,usda ars grazinglands research laboratory
department of agriculture,60025724,usda ars harry k dupree stuttgart national aquaculture research center
department of agriculture,60017210,usda ars high plains grasslands research station
department of agriculture,130508366,usda ars honey bee breeding
department of agriculture,60026143,usda ars honey bee breeding genetics and physiology research laboratory
department of agriculture,60029237,usda ars horticultural crops research unit
department of agriculture,106451177,usda ars hydrol remote sensing lab
department of agriculture,123829159,usda ars hydrology and remote sensing laboratory retired
department of agriculture,109609988,usda ars hydrology lab
department of agriculture,121521658,usda ars institute for environmentally integrated dairy management
department of agriculture,106447945,usda ars invasive insect biocontrol and behavior laboratory
department of agriculture,60103649,usda ars invasive plant research laboratory
department of agriculture,125897396,usda ars invasive species and pollinator health
department of agriculture,101655739,usda ars jornada experimental range
department of agriculture,109901495,usda ars jornada experimental range
department of agriculture,112684574,usda ars jornada experimental range
department of agriculture,60024862,usda ars kika de la garza subtropical agricultural research center
department of agriculture,60076225,usda ars lincoln nebraska
department of agriculture,121189546,usda ars livestock behavior research unit
department of agriculture,114921543,usda ars lubbock
department of agriculture,124425320,usda ars maricopa
department of agriculture,106454561,usda ars molecular plant pathology laboratory
department of agriculture,60010372,usda ars moscow forestry sciences lab
department of agriculture,131407847,usda ars mppl
department of agriculture,60023722,usda ars national animal disease center
department of agriculture,60027678,usda ars national center for agricultural utilization research
department of agriculture,60001609,usda ars national center for cool and cold water aquaculture
department of agriculture,60103685,usda ars national center for genetic resources preservation
department of agriculture,60029951,usda ars national clonal germplasm repository
department of agriculture,107343064,usda ars national cold water marine aquaculture center
department of agriculture,128036505,usda ars national cold water marine aquaculture center
department of agriculture,123583744,usda ars national germplasm repository
department of agriculture,101992410,usda ars national germplasm resources laboratory
department of agriculture,132059613,usda ars national laboratory for genetic resources preservation
department of agriculture,60103646,usda ars national peanut research laboratory
department of agriculture,129958618,usda ars national program
department of agriculture,60030965,usda ars national sedimentation laboratory
department of agriculture,109345809,usda ars national soil dynamics research
department of agriculture,60103048,usda ars national soil erosion research laboratory
department of agriculture,60005305,usda ars natural products utilization research unit
department of agriculture,106449623,usda ars nea barc
department of agriculture,127577936,usda ars nea ncwmac shellfish genetics program
department of agriculture,60103625,usda ars north carolina state university
department of agriculture,60090910,usda ars north central agricultural research laboratory
department of agriculture,125378905,usda ars north central agriculture research laboratory in brookings
department of agriculture,60011435,usda ars northern plains agricultural research laboratory
department of agriculture,125364545,usda ars northwest irrigation
department of agriculture,60018907,usda ars northwest irrigation and soils research laboratory
department of agriculture,60018268,usda ars northwest watershed research center
department of agriculture,113158330,usda ars office of national programs
department of agriculture,129587423,usda ars oklahoma and central plains agricultural research center
department of agriculture,132272686,usda ars pacific shellfish research unit
department of agriculture,124495884,usda ars pasture systems and watershed management research unit
department of agriculture,131063274,usda ars plains area rangeland resources and systems research unit
department of agriculture,125305226,usda ars plant science research unit
department of agriculture,60006914,usda ars plum island animal disease center
department of agriculture,60017654,usda ars poisonous plant research laboratory
department of agriculture,113230360,usda ars pollinating insect research unit
department of agriculture,115281144,usda ars pollinating insect research unit
department of agriculture,60030366,usda ars poultry production and product safety research unit
department of agriculture,128105366,usda ars poultry research unit
department of agriculture,60032832,usda ars poultry research unit
department of agriculture,60001963,usda ars pullman
department of agriculture,60028521,usda ars red river valley agricultural research center
department of agriculture,124998721,usda ars retired
department of agriculture,125693281,usda ars retired
department of agriculture,131789219,usda ars retired
department of agriculture,127297698,usda ars riesel watersheds
department of agriculture,60086585,usda ars robert w holley center for agriculture and health
department of agriculture,60022772,usda ars rocky mountain research station
department of agriculture,60007849,usda ars rocky mountain research station flagstaff lab
department of agriculture,60019986,usda ars roman l hruska us meat animal research center
department of agriculture,60026715,usda ars russell research center
department of agriculture,114054857,usda ars salinas
department of agriculture,60023624,usda ars salinity laboratory
department of agriculture,126715654,usda ars scinet big data program
department of agriculture,132121645,usda ars scinet program
department of agriculture,127612789,usda ars screwworm research laboratory
department of agriculture,131320527,usda ars screwworm research laboratory
department of agriculture,115115447,usda ars sea
department of agriculture,126825823,usda ars sea sugarcane field station
department of agriculture,109716745,usda ars shrs
department of agriculture,101787788,usda ars sino american biological control laboratory
department of agriculture,60014998,usda ars small grains and potato germplasm research unit
department of agriculture,123432912,usda ars soil and water conservation research
department of agriculture,116399526,usda ars soil and water conservation research unit
department of agriculture,128262573,usda ars soil and water management research unit bushland
department of agriculture,109159256,usda ars soil and water management unit
department of agriculture,130995150,usda ars soil and water management unit
department of agriculture,60103652,usda ars soil drainage research unit
department of agriculture,131783506,usda ars southeast area
department of agriculture,124082140,usda ars southeast watershed research
department of agriculture,60103647,usda ars southeast watershed research laboratory
department of agriculture,60028657,usda ars southern plains agricultural research center
department of agriculture,60025292,usda ars southern regional research center
department of agriculture,129958744,usda ars southwest climate hub
department of agriculture,130034879,usda ars soybean and nitrogen fixation research unit
department of agriculture,123282793,usda ars soybean genomics and improvement laboratory
department of agriculture,100592920,usda ars soybean maize germplasm
department of agriculture,101222750,usda ars srrc
department of agriculture,108301327,usda ars srrc
department of agriculture,60013171,usda ars stillwater
department of agriculture,60103675,usda ars stoneville
department of agriculture,60019520,usda ars sugarbeet research unit
department of agriculture,100336467,usda ars sugarcane field station
department of agriculture,60031032,usda ars sugarcane research unit
department of agriculture,118330780,usda ars sunflower and plant biology research unit
department of agriculture,114357840,usda ars sustainable perennial crops laboratory
department of agriculture,131401255,usda ars syst entomology laboratory
department of agriculture,125622737,usda ars systematic entomology laboratory
department of agriculture,131408131,usda ars systematic mycology and microbiology lab
department of agriculture,60001283,usda ars thad cochran southern horticulture laboratory
department of agriculture,105141382,usda ars tropical agriculture research station
department of agriculture,108718873,usda ars tropical agriculture research station
department of agriculture,126215673,usda ars tropical agriculture research station
department of agriculture,101008649,usda ars urbana
department of agriculture,60021335,usda ars us arid land agricultural research center
department of agriculture,60026170,usda ars us dairy forage research center
department of agriculture,60000878,usda ars us horticultural research laboratory
department of agriculture,126889744,usda ars us national arboretum
department of agriculture,60001145,usda ars us sheep experiment station
department of agriculture,60011043,usda ars us vegetable laboratory
department of agriculture,60004653,usda ars us water conservation lab
department of agriculture,128145574,usda ars veterinary pest research unit
department of agriculture,125108619,usda ars water availability and watershed management in beltsville
department of agriculture,132990047,usda ars water management and systems research unit
department of agriculture,132708692,usda ars water quality and ecology research unit
department of agriculture,60022600,usda ars western regional research center
department of agriculture,128855382,usda california climate hub
department of agriculture,60002603,usda center for nutrition policy and promotion
department of agriculture,60028226,usda centers for epidemiology and animal health
department of agriculture,128515269,usda climate hubs
department of agriculture,125504438,usda commodity credit corporation
department of agriculture,112607796,usda dairy forage research center
department of agriculture,127088741,usda economic research service
department of agriculture,128987820,usda economic research service
department of agriculture,130082416,usda economic research service
department of agriculture,60032935,usda economic research service
department of agriculture,132035619,usda extension
department of agriculture,130153877,usda farm production and conservation
department of agriculture,130714632,usda farm production and conservation
department of agriculture,126189475,usda farm production and conservation business center
department of agriculture,60204061,usda farm service agency
department of agriculture,60204058,usda food and nutrition service
department of agriculture,60013095,usda food safety and inspection service
department of agriculture,60204062,usda foreign agricultural service
department of agriculture,60008671,usda forest products laboratory
department of agriculture,60103638,usda gipsa technical services division
department of agriculture,60071534,usda mayaguez
department of agriculture,60204064,usda national agricultural statistics service
department of agriculture,60090887,usda national agroforestry center
department of agriculture,127402229,usda national agroforestry center retired
department of agriculture,60204065,usda national institute of food and agriculture
department of agriculture,112367109,usda national wildlife research center
department of agriculture,122170944,usda national wildlife research center predator research facility
department of agriculture,127851967,usda nifa nsf ai institute for next generation food systems
department of agriculture,123718113,usda northeast climate hub
department of agriculture,129958139,usda northern plains climate hub
department of agriculture,130633280,usda northwest climate hub
department of agriculture,101091378,usda nrcs
department of agriculture,131558906,usda nrcs
department of agriculture,60204083,usda nrcs
department of agriculture,131437809,usda nrcs canon city field office
department of agriculture,132208277,"usda nrcs james e ""bud"" smith plant materials center"
department of agriculture,129016344,usda nrcs jamie l whitten plant materials center
department of agriculture,133044833,usda nrcs kenai
department of agriculture,132208689,usda nrcs national plant data team
department of agriculture,129839463,usda nrcs national soil survey center
department of agriculture,126500469,usda nrcs plant materials center
department of agriculture,126500524,usda nrcs plant materials center
department of agriculture,114106603,usda nrcs resource inventory and assessment division
department of agriculture,129778781,usda nrcs soil and plant science division
department of agriculture,120087698,usda nrcs soil health division
department of agriculture,121073053,usda nrcs soil plant science division
department of agriculture,128969248,usda nrcs vermont
department of agriculture,131055842,usda oce
department of agriculture,123725150,usda office of the chief economist
department of agriculture,127914392,usda office of the chief economist
department of agriculture,60004014,usda plant gene expression center
department of agriculture,127892900,usda regulatory science center of excellence
department of agriculture,60204081,usda rural development
department of agriculture,124749790,usda veterinary sciences
department of agriculture,132509640,usda veterinary sciences
department of agriculture,113547154,usda wildlife services
department of agriculture,117637780,usda wildlife services
department of agriculture,125716061,usda wildlife services
department of agriculture,126888965,usda wildlife services
department of agriculture,128084301,usda wildlife services
department of agriculture,130971105,usda wisconsin state
department of agriculture,102005200,usda ws national wildlife research center predator research facility
department of agriculture,106657171,usda's agricultural research service at children's nutrition research center
department of agriculture,109502621,usda's economic research service
department of agriculture,131245871,usda's national institute of food and agriculture
department of agriculture,131245614,usda-agricultural research service
department of agriculture,112683535,usda-agricultural research service national laboratory for agriculture and the environment
department of agriculture,124357446,usda-agricultural research services northern great plains research laboratory
department of agriculture,130486587,usda-office of pest management policy
department of agriculture,101219359,white mountain national forest
department of agriculture,127148387,white mountain national forest
department of agriculture,105850843,white river national forest
department of agriculture,123385294,white river national forest
department of agriculture,111325080,willamette national forest
department of agriculture,132434914,willamette national forest
department of agriculture,132600864,willamette national forest
department of commerce,129212325,alabama noaa nws
department of commerce,100791792,alaska fisheries science center
department of commerce,107085791,alaska sea grant
department of commerce,130584822,alaska sea grant
department of commerce,101683314,an affiliate of noaa nos nccos
department of commerce,122163087,arl noaa affiliate
department of commerce,60026627,bureau of economic analysis
department of commerce,101668627,california sea grant
department of commerce,116955025,california sea grant
department of commerce,120789749,california sea grant
department of commerce,129770668,central pacific hurricane center
department of commerce,100421665,channel islands national marine sanctuary
department of commerce,128230435,channel islands national marine sanctuary
department of commerce,116350951,connecticut sea grant
department of commerce,122924338,connecticut sea grant
department of commerce,60136757,cooperative institute for research in the atmosphere
department of commerce,125773829,cooperative institute for satellite earth system studies between noaa and north carolina state university
department of commerce,127703148,delaware sea grant
department of commerce,60000947,department of commerce
department of commerce,117566699,emc ncep noaa center for weather and climate prediction
